sample_id,text,text_clean,text_plm,label,label_id,word_count,source,original_split
0,Al này rất hiễu ích khi học và bài al giúp em trong những bài tập khó,al này rất hiễu ích khi học và bài al giúp em trong những bài tập khó,al này rất hiễu ích khi học và bài al giúp em trong những bài tập khó,Tích cực,2,17,Khao_sat_AI,main
2,Khá thú vị khi Rất ổn để tôi viết nhiều mã trong máy tính và sửa những cái sai,khá thú vị khi rất ổn để tôi viết nhiều mã trong máy tính và sửa những cái sai,khá thú vị khi rất ổn để tôi viết nhiều mã trong máy tính và sửa những cái sai,Bình thường,1,19,Khao_sat_AI,main
3,AI hỗ trợ em học tập hiệu quả hơn và tự học được nhiều hơn,ai hỗ trợ em học tập hiệu quả hơn và tự học được nhiều hơn,ai hỗ trợ em học tập hiệu quả hơn và tự học được nhiều hơn,Tích cực,2,15,Khao_sat_AI,main
5,Nó hỗ trợ nhiều công việc cho tôi,nó hỗ trợ nhiều công việc cho tôi,nó hỗ trợ nhiều công việc cho tôi,Bình thường,1,8,Khao_sat_AI,main
6,AI này rất hiệu quả và hữu ích cho việc học tập và lập trình,ai này rất hiệu quả và hữu ích cho việc học tập và lập trình,ai này rất hiệu quả và hữu ích cho việc học tập và lập trình,Tích cực,2,15,Khao_sat_AI,main
7,"Thật sự, khá tốt làm nhanh Tốt nhất là đáp án thường xuyên đúng khó có các câu sai Tôi rất hài lòng.","thật sự, khá tốt làm nhanh tốt nhất là đáp án thường xuyên đúng khó có các câu sai tôi rất hài lòng.","thật sự, khá tốt làm nhanh tốt nhất là đáp án thường xuyên đúng khó có các câu sai tôi rất hài lòng.",Tích cực,2,23,Khao_sat_AI,main
9,"Giải đáp thắc mắc, cập nhật thông tin nhanh, mói mẻ, thông minh, và rất nhiệt tình","giải đáp thắc mắc, cập nhật thông tin nhanh, mói mẻ, thông minh, và rất nhiệt tình","giải đáp thắc mắc, cập nhật thông tin nhanh, mói mẻ, thông minh, và rất nhiệt tình",Bình thường,1,17,Khao_sat_AI,main
10,"Trong mọi lĩnh vực hiện tại, AI không còn là cái tên xa lạ nữa, hầu như len lỏi trong mỗi công việc. Trong lĩnh vực công việc của tôi, AI là một người trợ lý có ích hỗ trợ tôi tìm kiếm thông tin nhanh chóng và tổng quan hơn, phụ trợ tôi đề xuất những ý tưởng và tổng hợp nội dung một cách nhanh chóng. Tuy nhiên, tôi nghĩ đừng quá lạm dụng vì ""cái gì nhiều quá cũng không tốt"", chúng ta dễ bị lệ thuộc quá nhiều vào AI mà quên mất đi cách tư duy vốn có.","trong mọi lĩnh vực hiện tại, ai không còn là cái tên xa lạ nữa, hầu như len lỏi trong mỗi công việc. trong lĩnh vực công việc của tôi, ai là một người trợ lý có ích hỗ trợ tôi tìm kiếm thông tin nhanh chóng và tổng quan hơn, phụ trợ tôi đề xuất những ý tưởng và tổng hợp nội dung một cách nhanh chóng. tuy nhiên, tôi nghĩ đừng quá lạm dụng vì ""cái gì nhiều quá cũng không tốt"", chúng ta dễ bị lệ thuộc quá nhiều vào ai mà quên mất đi cách tư duy vốn có.","trong mọi lĩnh vực hiện tại, ai không còn là cái tên xa lạ nữa, hầu như len lỏi trong mỗi công việc. trong lĩnh vực công việc của tôi, ai là một người trợ lý có ích hỗ trợ tôi tìm kiếm thông tin nhanh chóng và tổng quan hơn, phụ trợ tôi đề xuất những ý tưởng và tổng hợp nội dung một cách nhanh chóng. tuy nhiên, tôi nghĩ đừng quá lạm dụng vì ""cái gì nhiều quá cũng không tốt"", chúng ta dễ bị lệ thuộc quá nhiều vào ai mà quên mất đi cách tư duy vốn có.",Bình thường,1,103,Khao_sat_AI,main
11,Al này rất hữu ích trong học tập và lập trình,al này rất hữu ích trong học tập và lập trình,al này rất hữu ích trong học tập và lập trình,Bình thường,1,11,Khao_sat_AI,main
12,"Thật sự, AI là công nghệ hiện đại hỗ trợ con người trong nhiều lĩnh vực, đặc biệt phụ trợ học tập nhanh hơn, tìm kiếm thông tin dễ dàng và nâng cao hiệu quả làm việc.","thật sự, ai là công nghệ hiện đại hỗ trợ con người trong nhiều lĩnh vực, đặc biệt phụ trợ học tập nhanh hơn, tìm kiếm thông tin dễ dàng và nâng cao hiệu quả làm việc.","thật sự, ai là công nghệ hiện đại hỗ trợ con người trong nhiều lĩnh vực, đặc biệt phụ trợ học tập nhanh hơn, tìm kiếm thông tin dễ dàng và nâng cao hiệu quả làm việc.",Tích cực,2,37,Khao_sat_AI,main
