timestamp,linh_vuc,thoi_gian_dung_ai,thoi_gian_dung_ai_so,cong_cu_ai,so_cong_cu,nhan_xet,do_dai_nhan_xet,nhan,nhan_so
13/03/2026 10:58:05,Kinh tế,6-12 tháng,3,ChatGPT,1,Al này rất hiễu ích khi học và bài al giúp em trong những bài tập khó,17,Tích cực,1
10/04/2026 02:27:37,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Theo quan sát, Al rất hữu ích trong việc soạn văn bản Còn nhiều điểm cần xem xét.",18,Bình thường,0
15/03/2026 05:09:43,Công nghệ thông tin,3-6 tháng,2,"ChatGPT, Gemini, Copilot, Midjourney",4,Khá thú vị khi Rất ổn để tôi viết nhiều mã trong máy tính và sửa những cái sai,19,Bình thường,0
05/04/2026 08:26:10,Kinh tế,3-6 tháng,2,"ChatGPT, Gemini",2,AI hỗ trợ em học tập hiệu quả hơn và tự học được nhiều hơn,15,Tích cực,1
09/03/2026 04:37:51,Công nghệ thông tin,< 3 tháng,1,"ChatGPT, Gemini",2,AI hỗ trợ trong học tập và các lĩnh vực khác Tuyệt vời!,13,Tích cực,1
16/03/2026 07:26:08,Học sinh,> 1 năm,4,ChatGPT,1,Nó hỗ trợ nhiều công việc cho tôi,8,Bình thường,0
20/03/2026 13:34:24,Học sinh,6-12 tháng,3,"Gemini, Copilot",2,AI này rất hiệu quả và hữu ích cho việc học tập và lập trình,15,Tích cực,1
18/03/2026 01:50:35,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini",2,"Thật sự, khá tốt làm nhanh Tốt nhất là đáp án thường xuyên đúng khó có các câu sai Tôi rất hài lòng.",23,Tích cực,1
15/03/2026 21:43:23,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,AI này rất tiện lợi trong việc học tập Còn nhiều điểm cần xem xét.,15,Bình thường,0
16/03/2026 20:21:17,Spa,3-6 tháng,2,ChatGPT,1,"Giải đáp thắc mắc, cập nhật thông tin nhanh, mói mẻ, thông minh, và rất nhiệt tình",17,Bình thường,0
09/03/2026 09:07:41,Học sinh,> 1 năm,4,"ChatGPT, Gemini, Claude",3,"Trong mọi lĩnh vực hiện tại, AI không còn là cái tên xa lạ nữa, hầu như len lỏi trong mỗi công việc. Trong lĩnh vực công việc của tôi, AI là một người trợ lý có ích hỗ trợ tôi tìm kiếm thông tin nhanh chóng và tổng quan hơn, phụ trợ tôi đề xuất những ý tưởng và tổng hợp nội dung một cách nhanh chóng. Tuy nhiên, tôi nghĩ đừng quá lạm dụng vì ""cái gì nhiều quá cũng không tốt"", chúng ta dễ bị lệ thuộc quá nhiều vào AI mà quên mất đi cách tư duy vốn có.",103,Bình thường,0
11/03/2026 15:37:35,Học Sinh,3-6 tháng,2,Gemini,1,Al này rất hữu ích trong học tập và lập trình,11,Bình thường,0
19/03/2026 10:10:04,Kinh tế,6-12 tháng,3,"ChatGPT, Gemini, Claude",3,"Thật sự, AI là công nghệ hiện đại hỗ trợ con người trong nhiều lĩnh vực, đặc biệt phụ trợ học tập nhanh hơn, tìm kiếm thông tin dễ dàng và nâng cao hiệu quả làm việc.",37,Tích cực,1
23/03/2026 15:43:56,Còn Đi Học,> 1 năm,4,ChatGPT,1,AI này rất hữu ích khí học tập và lập trình,11,Tiêu cực,-1
20/03/2026 05:49:13,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Đáng tiếc là, Al cực kỳ hữu ích phụ trợ ta rất nhiều trong học tập",16,Tiêu cực,-1
19/03/2026 05:10:52,Công nghệ thông tin,> 1 năm,4,Không,1,AI giúp tôi trong học tập thực sự nhiều,9,Bình thường,0
20/03/2026 10:00:05,Mua Bán,< 3 tháng,1,ChatGPT,1,"AI dùng rất tốt về công nghệ,...",7,Tích cực,1
15/03/2026 06:21:17,Thiết kế,> 1 năm,4,ChatGPT,1,"Giải đáp thắc mắc, cập nhật thông tin mau lẹ, mói mẻ, thông minh, và rất nhiệt tình",18,Bình thường,0
22/03/2026 04:05:54,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Theo quan sát, rất hiệu quả có thể giúp đỡ cho học tập và giải bài tập khó",18,Bình thường,0
20/03/2026 20:46:44,Công nghệ thông tin,3-6 tháng,2,Claude,1,AI rất thông minh và hữu ích,7,Tích cực,1
14/03/2026 07:08:01,Công nghệ thông tin,6-12 tháng,3,ChatGPT,1,khá hiểuu ít và đáng tin cậy,7,Tích cực,1
17/03/2026 19:51:58,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,AI là công nghệ thông minh hỗ trợ con người học tập và làm việc,15,Tích cực,1
07/04/2026 14:27:11,Công nghệ thông tin,> 1 năm,4,"Gemini, Claude",2,"AI giúp mình tìm hiểu các kiến thức mới, đưa ra lộ trình học tập",15,Tích cực,1
22/03/2026 14:46:44,Công nghệ thông tin,> 1 năm,4,Claude,1,AI rất thông minh và hữu ích,7,Tích cực,1
18/03/2026 10:26:51,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,Al rất hữu ích cho công việc và học tập,10,Tích cực,1
18/03/2026 18:30:51,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini",2,Ai là một ứng dụng hữu ích cho việc học và tìm kiếm thông tin trong cuộc sống và nơi đã giúp đỡ em rất nhiều trong cuộc sống,29,Tích cực,1
12/03/2026 18:37:46,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,"AI trả lời nhanh, giải thích khá rõ ràng nhiều chủ đề từ công nghệ đến đời sống, đôi khi còn gợi ý những góc nhìn mới khiến việc học và suy nghĩ trở nên thú vị hơn.",38,Bình thường,0
13/03/2026 19:51:55,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini, Qanda, doulingo",4,"Al là một công cụ rất hữu ích, tiện lợi khi học tập và lập trình. Al giúp ta trao dồi kiến thức, giải các bài tập,.... Al là một công cụ mà mọi nhà nên dùng",37,Tiêu cực,-1
09/03/2026 08:27:48,Kinh tế,6-12 tháng,3,"ChatGPT, Gemini",2,AI khá là tốt nhưng không nên quá lạm dụng nó Còn nhiều điểm cần xem xét.,17,Bình thường,0
19/03/2026 06:04:05,Kinh tế,> 1 năm,4,Gemini,1,Tôi cũng không thích AI,5,Tiêu cực,-1
07/04/2026 14:25:14,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,"AI rất hữu ích cho sinh viên, học tập dễ dàng hơn, tiện ích tra cứu thông tin",18,Tích cực,1
16/03/2026 20:35:15,Kinh tế,< 3 tháng,1,"ChatGPT, Gemini",2,"AI đang ngày càng trở thành một công cụ quan trọng trong cuộc sống hiện đại. Nó giúp con người làm việc nhanh hơn, xử lý thông tin hiệu quả hơn và hỗ trợ giải quyết nhiều vấn đề phức tạp trong học tập, công việc và công nghệ. Tuy nhiên, con người vẫn cần sử dụng AI một cách thông minh và có trách nhiệm.",66,Bình thường,0
21/03/2026 05:38:53,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Thật sự, AI giúp tiết kiệm thời gian, nâng cao hiệu suất làm việc và mang lại nhiều tiện ích trong cuộc sống.",23,Tích cực,1
19/03/2026 22:39:33,Đang Đi Hc,> 1 năm,4,ChatGPT,1,AI khá tốt có thể tìm kiếm câu trả lời trong giây lát và rất mau lẹ,17,Tích cực,1
07/04/2026 14:27:06,Công nghệ thông tin,3-6 tháng,2,Gemini,1,AI này rất hữu ích trong việc tham khảo tài liệu học tập,13,Tích cực,1
18/03/2026 06:11:28,Thiết kế,3-6 tháng,2,Gemini,1,Ai này rất hữu ích khi học tập và lập trình,11,Tích cực,1
09/04/2026 15:52:51,Kinh tế,> 1 năm,4,"ChatGPT, Gemini",2,AI cực kỳ hữu ích,5,Bình thường,0
21/03/2026 10:59:50,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"AI dùng khá tốt về công nghệ,...",7,Tích cực,1
19/03/2026 19:53:16,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"AI này là một công cụ rất hữu ích, giúp hỗ trợ hiệu quả trong việc học tập, tìm kiếm thông tin và lập trình, từ đó nâng cao năng suất và khả năng tự học Còn nhiều điểm cần xem xét.",42,Bình thường,0
11/03/2026 12:15:39,Kinh tế,> 1 năm,4,ChatGPT,1,Al rất hữu ích trong công việc,7,Bình thường,0
21/03/2026 20:06:28,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,"Al này rất hiểu ích trong việc học tập, làm việc, nhìu thắc mắc được giải đáp",17,Tích cực,1
12/03/2026 13:23:14,Công nghệ thông tin,> 1 năm,4,Gemini,1,Al hữu ích giúp e Giải bài tập rất hay,10,Tích cực,1
20/03/2026 19:53:25,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,"AI đóng vai trò quan trọng trong tương lai, góp phần thay đổi cách con người làm việc và học tập.",21,Tích cực,1
27/03/2026 02:43:56,Học sinh,> 1 năm,4,ChatGPT,1,"Đáng tiếc là, AI này rất hữu ích khí học tập và lập trình Cần cải thiện nhiều hơn.",19,Tiêu cực,-1
20/03/2026 19:32:38,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,"AI là một công nghệ hiện đại, rất hữu ích trong học tập, giúp con người tìm kiếm thông tin nhanh chóng và hỗ trợ giải quyết nhiều vấn đề hiệu quả.",32,Tích cực,1
20/03/2026 09:59:10,Mua Bán,< 3 tháng,1,ChatGPT,1,"AI dùng rất tốt về công nghệ,...",7,Tích cực,1
08/04/2026 08:52:51,Thiết kế,3-6 tháng,2,"ChatGPT, Gemini",2,AI khá hữu ích,4,Bình thường,0
