
date,model,config,train_size,epoch,val_acc,val_f1_macro,val_f1_negative,val_f1_neutral,val_f1_positive,train_time_min,notes
2026-07-09,NB_TFIDF,"TfidfVectorizer(max_features=20000, ngram_range=(1,2)) + MultinomialNB(alpha=1.0)",11846,-,0.8748,0.6529,0.8943,0.1635,0.9009,0.5388,B1 baseline; train on train.csv; validate on val.csv; test.csv locked and not used

2026-07-13,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.9240,0.8164,0.9413,0.5645,0.9435,18.1,Baseline run
2026-07-13,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.9189,0.7899,0.9440,0.4895,0.9362,18.1,loss_type=ce
2026-07-13,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.9011,0.8079,0.9335,0.5676,0.9227,18.2,loss_type=class_weight
2026-07-13,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.9063,0.8169,0.9423,0.5805,0.9280,18.2,loss_type=focal
2026-07-13,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.9007,0.8064,0.9400,0.5550,0.9242,18.2,"loss_type=focal, head_type=cls"
2026-07-14,vinai/phobert-base,"lr=2e-05, batch=32, max_len=64",11846,-,0.8425,0.7452,0.9251,0.4386,0.8719,18.4,"loss_type=focal, head_type=mean_pooling"
2026-07-14,BILSTM_FASTTEXT,"run_name=bilstm_ft_lr1e3_d03, max_length=64, hidden_dim=128, dropout=0.3, lr=0.001, batch_size=32, epochs=8, class_weight=[0.754282/5.764477/0.666329], freeze_embeddings=False, seed=42",11846,5,0.8901,0.7786,0.9188,0.4986,0.9185,2.6873,best epoch=5; FastText coverage 37.12%
2026-07-14,BILSTM_FASTTEXT,"run_name=bilstm_ft_lr5e4_d03, max_length=64, hidden_dim=128, dropout=0.3, lr=0.0005, batch_size=32, epochs=8, class_weight=[0.754282/5.764477/0.666329], freeze_embeddings=False, seed=42",11846,3,0.8811,0.7649,0.9153,0.4656,0.9138,1.8768,best epoch=3; early stopping; FastText coverage 37.12%
2026-07-14,BILSTM_FASTTEXT,"run_name=bilstm_ft_lr1e3_d05, max_length=64, hidden_dim=128, dropout=0.5, lr=0.001, batch_size=32, epochs=8, class_weight=[0.754282/5.764477/0.666329], freeze_embeddings=False, seed=42",11846,3,0.8846,0.7692,0.9204,0.4731,0.9141,1.9292,best epoch=3; early stopping; FastText coverage 37.12%
